SI_Number,SI_Type,SI_Subject,Case Number,SI_CreatedDate,Opened Date_Day of Week
SI - 4650,Tracking,Clearview modules not populating data,2,2023-04-28T16:33:08,Thursday
SI - 4649,Tracking,Five9 SMS Incoming MMS Not Working,1,2023-04-28T12:00:50,Thursday
SI - 4649,Tracking,Five9 SMS Incoming MMS Not Working,1,2023-04-28T12:00:50,Monday
SI - 4648,Service Alert,Five9 unable to download new emails,3,2023-04-28T11:03:09,Friday
SI - 4647,Service Alert,Magna5 ATT TFN DTMF Issues,1,2023-04-27T11:16:16,Monday
SI - 4647,Service Alert,Magna5 ATT TFN DTMF Issues,4,2023-04-27T11:16:16,Thursday
SI - 4647,Service Alert,Magna5 ATT TFN DTMF Issues,2,2023-04-27T11:16:16,Wednesday
SI - 4647,Service Alert,Magna5 ATT TFN DTMF Issues,1,2023-04-27T11:16:16,Friday
SI - 4646,Defect,"Looping ""Dial Another Number for this record feature""",1,2023-04-27T09:46:03,Thursday
SI - 4646,Defect,"Looping ""Dial Another Number for this record feature""",2,2023-04-27T09:46:03,Monday
SI - 4646,Defect,"Looping ""Dial Another Number for this record feature""",1,2023-04-27T09:46:03,Tuesday
SI - 4646,Defect,"Looping ""Dial Another Number for this record feature""",1,2023-04-27T09:46:03,Friday
SI - 4646,Defect,"Looping ""Dial Another Number for this record feature""",1,2023-04-27T09:46:03,Sunday
SI - 4645,Tracking,Unable to connect to UC Adapter in Web Admin,5,2023-04-27T07:37:58,Thursday
SI - 4644,Service Alert,te-6296-high-current-thread-usage-for-farm-c,34,2023-04-27T06:56:19,Thursday
SI - 4643,Tracking,Five9 Plus Adapters Connection Problem Error,4,2023-04-26T20:30:45,Thursday
SI - 4643,Tracking,Five9 Plus Adapters Connection Problem Error,13,2023-04-26T20:30:45,Wednesday
SI - 4642,Service Alert,Outbound calls failing - MTL domains,6,2023-04-26T14:11:31,Wednesday
SI - 4641,Defect,SU9 | Error on Report when adding Bill Time (Rounded),2,2023-04-26T08:10:34,Monday
SI - 4641,Defect,SU9 | Error on Report when adding Bill Time (Rounded),3,2023-04-26T08:10:34,Tuesday
SI - 4641,Defect,SU9 | Error on Report when adding Bill Time (Rounded),3,2023-04-26T08:10:34,Wednesday
SI - 4641,Defect,SU9 | Error on Report when adding Bill Time (Rounded),3,2023-04-26T08:10:34,Thursday
SI - 4641,Defect,SU9 | Error on Report when adding Bill Time (Rounded),1,2023-04-26T08:10:34,Friday
SI - 4640,Threshold Alert,fvpsipvip001 APNE1 Checksip Alert,6,2023-04-26T02:21:05,Wednesday
