case topic,Case Number,Case Open Date,Opened Date_Day of Week
Unable to Login,2,2023-04-17T08:14:10,Monday
Forcibly Logout,2,2023-04-19T11:19:35,Wednesday
Reporting,1,2023-04-24T08:28:38,Monday
Speech Analytics,1,2023-04-28T05:06:56,Friday
Call Recording,1,2023-04-12T11:03:13,Wednesday
Adherence,1,2023-04-21T15:51:07,Friday
Evaluations,1,2023-04-28T03:39:36,Friday
Manual Outbound SMS,1,2023-04-18T11:27:48,Tuesday
Evaluations,1,2023-04-28T08:15:32,Friday
MACD,1,2023-04-06T09:26:36,Thursday
MACD,1,2023-04-14T11:10:20,Friday
MACD,1,2023-04-20T10:33:47,Thursday
MACD,1,2023-04-21T11:36:27,Friday
MACD,1,2023-04-25T10:07:10,Tuesday
MACD,1,2023-04-28T13:32:05,Friday
MACD,1,2023-04-19T09:29:41,Wednesday
MACD,1,2023-04-19T11:01:32,Wednesday
MACD,1,2023-04-20T14:34:01,Thursday
MACD,1,2023-04-21T12:14:51,Friday
MACD,1,2023-04-21T13:10:15,Friday
MACD,1,2023-04-25T08:36:10,Tuesday
MACD,1,2023-04-04T11:25:27,Tuesday
MACD,1,2023-04-06T14:44:15,Thursday
MACD,1,2023-04-07T11:04:01,Friday
MACD,1,2023-04-12T15:46:28,Wednesday
MACD,1,2023-04-19T10:48:27,Wednesday
MACD,1,2023-04-21T12:01:06,Friday
MACD,1,2023-04-24T10:56:15,Monday
MACD,1,2023-04-24T13:08:31,Monday
MACD,1,2023-04-26T15:26:18,Wednesday
MACD,1,2023-04-14T15:19:01,Friday
MACD,1,2023-04-24T11:24:47,Monday
MACD,1,2023-04-19T13:30:57,Wednesday
MACD,1,2023-04-06T13:59:06,Thursday
MACD,1,2023-04-24T10:26:21,Monday
MACD,1,2023-04-26T13:26:45,Wednesday
MACD,1,2023-04-27T19:51:50,Thursday
Calls Failing,1,2023-04-24T06:36:06,Monday
MACD,1,2023-04-30T04:57:08,Sunday
MACD,1,2023-04-11T08:36:25,Tuesday
MACD,1,2023-04-18T06:54:25,Tuesday
MACD,1,2023-04-24T06:15:14,Monday
MACD,1,2023-04-03T06:09:58,Monday
MACD,1,2023-04-04T07:53:29,Tuesday
MACD,1,2023-04-18T07:21:10,Tuesday
MACD,1,2023-04-28T09:36:57,Friday
MACD,1,2023-04-29T08:45:09,Saturday
MACD,1,2023-04-11T08:46:01,Tuesday
MACD,1,2023-04-06T08:53:33,Thursday
MACD,1,2023-04-11T08:06:32,Tuesday
MACD,1,2023-04-11T08:50:21,Tuesday
MACD,1,2023-04-18T08:39:13,Tuesday
Adherence,1,2023-04-27T13:24:15,Thursday
Inquiry/How To,1,2023-04-28T11:47:00,Friday
Desktop Analytics,1,2023-04-07T11:23:03,Friday
Data Mismatch,1,2023-04-24T17:17:20,Monday
Configuration,1,2023-04-21T01:52:58,Friday
Call Features,1,2023-04-20T12:16:52,Thursday
Unable to Login,1,2023-04-23T19:10:38,Sunday
Calls Failing,1,2023-04-06T03:19:47,Thursday
Error Message,1,2023-04-03T01:14:02,Monday
Lists,1,2023-04-28T05:36:56,Friday
Inquiry/How To,1,2023-04-12T15:24:21,Wednesday
Launching Application,1,2023-04-26T12:01:46,Wednesday
Connection Issue,1,2023-04-28T09:36:56,Friday
Configuration,1,2023-04-26T05:04:30,Wednesday
Inquiry/How To,1,2023-04-13T09:59:32,Thursday
Reporting,1,2023-04-21T07:35:11,Friday
Forecasting & Scheduling,1,2023-04-11T15:09:11,Tuesday
Inquiry/How To,1,2023-04-25T07:33:05,Tuesday
Error Message,1,2023-04-28T09:15:53,Friday
Configuration,1,2023-04-20T12:15:33,Thursday
Recordings,1,2023-04-28T08:39:28,Friday
Configuration,1,2023-04-10T07:15:32,Monday
Inquiry/How To,1,2023-04-20T03:20:53,Thursday
Filter,1,2023-04-12T12:58:52,Wednesday
Assistance,1,2023-04-30T10:07:04,Sunday
Recordings,1,2023-04-20T10:17:02,Thursday
Send and Receive,1,2023-04-21T11:46:03,Friday
IVR script,1,2023-04-24T06:07:04,Monday
Audio Issues,1,2023-04-19T04:28:04,Wednesday
Error Message,1,2023-04-19T04:21:36,Wednesday
Inquiry/How To,1,2023-04-11T06:53:22,Tuesday
ANI,1,2023-04-11T08:24:42,Tuesday
Contacts,1,2023-04-24T08:29:17,Monday
Case Submission,1,2023-04-24T12:49:37,Monday
Call Routing,1,2023-04-14T12:01:55,Friday
Dispositions,1,2023-04-26T12:47:02,Wednesday
Reporting,1,2023-04-21T05:45:36,Friday
Call Features,1,2023-04-26T09:28:44,Wednesday
Audio Issues,1,2023-04-25T09:11:46,Tuesday
Scheduled Report,1,2023-04-27T06:02:20,Thursday
List Management,1,2023-04-28T07:37:40,Friday
Evaluations,1,2023-04-28T06:52:34,Friday
Call Features,1,2023-04-25T07:57:26,Tuesday
Queue Analytics,1,2023-04-07T08:01:19,Friday
IVR,1,2023-04-28T12:10:41,Friday
Evaluations,1,2023-04-28T07:16:10,Friday
Unexpected Behavior,1,2023-04-28T08:14:52,Friday
Users,1,2023-04-25T11:00:27,Tuesday
Recordings,1,2023-04-18T09:09:13,Tuesday
Call Features,1,2023-04-14T08:45:47,Friday
Call Features,1,2023-04-13T09:24:56,Thursday
Softphone,1,2023-04-27T11:17:58,Thursday
Queue,1,2023-04-14T14:10:11,Friday
Audio Issues,1,2023-04-27T08:06:31,Thursday
Dashboard Configuration,1,2023-04-24T11:41:06,Monday
General Error,1,2023-04-19T18:18:42,Wednesday
Inquiry/How To,1,2023-04-28T09:36:30,Friday
Reporting,1,2023-04-04T13:46:02,Tuesday
Text Statistics,1,2023-04-28T06:46:28,Friday
Recordings,1,2023-04-17T13:42:05,Monday
Agent State,1,2023-04-19T07:21:49,Wednesday
Users,1,2023-04-28T08:47:56,Friday
Users,1,2023-04-28T10:50:51,Friday
Error Message,1,2023-04-19T14:26:18,Wednesday
Calls Failing,1,2023-04-25T17:52:43,Tuesday
Launching Application,1,2023-04-27T02:26:26,Thursday
User Management,1,2023-04-25T07:41:45,Tuesday
Automated messages,1,2023-04-14T07:47:26,Friday
IVR,1,2023-04-25T08:13:14,Tuesday
Connection Issue,1,2023-04-18T12:12:14,Tuesday
Standard Report,1,2023-04-24T13:31:34,Monday
Calls Failing,1,2023-04-14T11:08:28,Friday
Dialing Behavior,1,2023-04-27T09:03:39,Thursday
Audio Issues,1,2023-04-13T13:10:41,Thursday
Recordings,1,2023-04-03T11:51:51,Monday
Configuration,1,2023-04-26T18:38:47,Wednesday
Forcibly Logout,1,2023-04-13T04:19:08,Thursday
Calls Failing,1,2023-04-27T06:56:09,Thursday
Application Lag,1,2023-04-21T06:21:05,Friday
Recordings,1,2023-04-26T03:41:56,Wednesday
Data Accuracy and Data Set,1,2023-04-10T09:38:31,Monday
Data Accuracy and Data Set,1,2023-04-04T07:01:21,Tuesday
Inquiry/How To,1,2023-04-27T05:20:26,Thursday
Forecasting & Scheduling,1,2023-04-24T03:47:08,Monday
Reporting,1,2023-04-25T06:55:55,Tuesday
Call Features,1,2023-04-25T15:02:16,Tuesday
Calls Failing,1,2023-04-24T09:09:59,Monday
Adherence,1,2023-04-14T05:09:30,Friday
General Error,1,2023-04-24T09:34:51,Monday
Recordings,1,2023-04-12T10:08:58,Wednesday
Monitoring,1,2023-04-25T10:18:24,Tuesday
Dashboard,1,2023-04-04T11:35:52,Tuesday
Evaluations,1,2023-04-13T08:38:50,Thursday
Custom Report,1,2023-04-21T02:23:50,Friday
Audio Issues,1,2023-04-27T02:49:27,Thursday
Audio Issues,1,2023-04-27T07:03:23,Thursday
Adherence,1,2023-04-26T09:03:38,Wednesday
Interactions,1,2023-04-06T14:54:49,Thursday
Campaign Profiles,1,2023-04-24T09:55:18,Monday
Call Features,1,2023-04-24T09:12:18,Monday
Call Recording,1,2023-04-12T11:47:39,Wednesday
Lists,1,2023-04-18T07:55:54,Tuesday
Custom Report,1,2023-04-26T09:03:54,Wednesday
Speech Analytics,1,2023-04-20T09:58:37,Thursday
Dialing Behavior,1,2023-04-24T09:45:07,Monday
Recordings,1,2023-04-25T12:26:03,Tuesday
Recordings,1,2023-04-27T06:46:02,Thursday
ADT+ (Custom/Stand-alone),1,2023-04-24T03:16:22,Monday
Agent State,1,2023-04-12T08:34:09,Wednesday
Form Designer,1,2023-04-24T10:54:09,Monday
Inquiry/How To,1,2023-04-03T13:14:08,Monday
Campaign Options,1,2023-04-25T10:21:46,Tuesday
Softphone,1,2023-04-13T08:21:06,Thursday
IVR,1,2023-04-13T16:25:52,Thursday
Recordings,1,2023-04-19T08:15:18,Wednesday
Opt-in/Out,1,2023-04-25T09:11:42,Tuesday
Recordings,1,2023-04-19T05:59:54,Wednesday
FTP,1,2023-04-26T11:23:24,Wednesday
Unexpected Behavior,1,2023-04-03T11:09:47,Monday
Call Features,1,2023-04-26T10:55:33,Wednesday
Unable to Login,1,2023-04-24T07:49:38,Monday
Custom Report,1,2023-04-24T06:36:29,Monday
Conversation,1,2023-04-27T07:38:30,Thursday
Unexpected Behavior,1,2023-04-25T08:01:43,Tuesday
Custom Report,1,2023-04-03T10:32:48,Monday
"Chatbot Configuration issues ( SCC Admin, Engagement workflow etc)",1,2023-04-12T13:32:39,Wednesday
Evaluations,1,2023-04-24T07:07:55,Monday
